id,preferred_name,protein_size,annotation
9685.ENSFCAP00000000732,P3H2,707,Prolyl 3-hydroxylase 2.
9685.ENSFCAP00000000733,EFEMP1,504,EGF containing fibulin extracellular matrix protein 1.
9685.ENSFCAP00000000737,PINK1,581,PTEN induced kinase 1.
9685.ENSFCAP00000000738,DDOST,456,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit; Subunit of the oligosaccharyl transferase (OST) complex that catalyzes the initial transfer of a defined glycan (Glc(3)Man(9)GlcNAc(2) in eukaryotes) from the lipid carrier dolichol- pyrophosphate to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains, the first step in protein N-glycosylation. N-glycosylation occurs cotranslationally and the complex associates with the Sec61 complex at the channel-forming translocon complex that mediates protein translocation across t [...] 
9685.ENSFCAP00000000741,SH2D5,428,SH2 domain containing 5.
9685.ENSFCAP00000000742,HP1BP3,553,Heterochromatin protein 1 binding protein 3.
9685.ENSFCAP00000000749,SERPINB9,447,Serpin family B member 9; Belongs to the serpin family.
9685.ENSFCAP00000000754,ADAM12,905,ADAM metallopeptidase domain 12.
9685.ENSFCAP00000000756,WDR20,588,WD repeat domain 20.
9685.ENSFCAP00000000758,IARS1,1262,Isoleucyl-tRNA synthetase; Belongs to the class-I aminoacyl-tRNA synthetase family.
9685.ENSFCAP00000000760,NOL8,1151,Nucleolar protein 8.
9685.ENSFCAP00000000762,OGN,297,Osteoglycin.
9685.ENSFCAP00000000764,PSMD8,355,Proteasome 26S subunit, non-ATPase 8.
9685.ENSFCAP00000000767,FAM98C,352,Family with sequence similarity 98 member C.
9685.ENSFCAP00000000768,RASGRP4,671,RAS guanyl releasing protein 4.
9685.ENSFCAP00000000775,DOCK2,1830,Dedicator of cytokinesis 2; Belongs to the DOCK family.
9685.ENSFCAP00000000776,FOXI1,378,Forkhead box I1.
9685.ENSFCAP00000000780,CCL2,99,C-C motif chemokine.
9685.ENSFCAP00000000782,BOLA2B,86,Uncharacterized protein; Belongs to the BolA/IbaG family.
9685.ENSFCAP00000000784,NELFCD,601,Negative elongation factor complex member C/D.
9685.ENSFCAP00000000785,CTSZ,362,Cathepsin Z; Belongs to the peptidase C1 family.
9685.ENSFCAP00000000793,IFT88,831,Intraflagellar transport 88.
9685.ENSFCAP00000000796,XPO4,1151,Exportin 4.
9685.ENSFCAP00000000820,CA2H19orf71,210,Chromosome A2 C19orf71 homolog.
9685.ENSFCAP00000000829,SMDT1,107,Single-pass membrane protein with aspartate rich tail 1.
9685.ENSFCAP00000000835,HSD17B6,317,Hydroxysteroid 17-beta dehydrogenase 6; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
9685.ENSFCAP00000000836,GBA,536,Glucosylceramidase.
9685.ENSFCAP00000000844,ALAS2,633,5-aminolevulinate synthase.
9685.ENSFCAP00000000845,EEF2,858,Eukaryotic translation elongation factor 2.
9685.ENSFCAP00000000848,SPACA3,256,Sperm acrosome associated 3; Belongs to the glycosyl hydrolase 22 family.
9685.ENSFCAP00000000849,NOTCH3,2323,Notch receptor 3.
9685.ENSFCAP00000000856,SEL1L2,685,SEL1L2 adaptor subunit of ERAD E3 ligase.
9685.ENSFCAP00000000857,PRKAB1,270,Protein kinase AMP-activated non-catalytic subunit beta 1.
9685.ENSFCAP00000000860,CIT,1882,Citron rho-interacting serine/threonine kinase; Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family.
9685.ENSFCAP00000000863,DTX3L,738,Deltex E3 ubiquitin ligase 3L.
9685.ENSFCAP00000000867,SLC49A4,481,Solute carrier family 49 member 4.
9685.ENSFCAP00000000869,SF3B5,86,Splicing factor 3B subunit 5; Belongs to the SF3B5 family.
9685.ENSFCAP00000000872,PDIA5,521,Protein disulfide isomerase family A member 5.
9685.ENSFCAP00000000874,MCCC1,725,Methylcrotonoyl-CoA carboxylase 1.
9685.ENSFCAP00000000875,CARD14,969,Caspase recruitment domain family member 14.
9685.ENSFCAP00000000876,SGSH,505,N-sulfoglucosamine sulfohydrolase.
9685.ENSFCAP00000000883,IMPDH1,659,Inosine-5'-monophosphate dehydrogenase; Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate-limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth. Could also have a single-stranded nucleic acid-binding activity and could play a role in RNA and/or DNA metabolism. It may also have a role in the development of malignancy and the growth progression of some tumors.
9685.ENSFCAP00000000884,FAM71F2,300,Family with sequence similarity 71 member F2.
9685.ENSFCAP00000000886,OPN1SW,349,Opsin 1, short wave sensitive.
9685.ENSFCAP00000000888,FLNC,2719,Filamin C.
9685.ENSFCAP00000000890,IRF5,504,Interferon regulatory factor 5.
9685.ENSFCAP00000000891,KDM8,414,Lysine demethylase 8.
9685.ENSFCAP00000000892,PASK,1505,PAS domain containing serine/threonine kinase.
9685.ENSFCAP00000000893,BEND6,279,BEN domain containing 6.
9685.ENSFCAP00000000899,NUP133,1155,Nucleoporin 133.
9685.ENSFCAP00000000902,SYNGR4,234,Synaptogyrin.
9685.ENSFCAP00000000905,PDE3A,1139,Phosphodiesterase.
9685.ENSFCAP00000000907,TXNRD3,581,Thioredoxin reductase 3.
9685.ENSFCAP00000000909,CHCHD6,2112,MICOS complex subunit; Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane.
9685.ENSFCAP00000000910,MCAM,681,Melanoma cell adhesion molecule.
9685.ENSFCAP00000000922,OTOP3,572,Otopetrin 3.
9685.ENSFCAP00000000923,HEXD,482,Hexosaminidase D.
9685.ENSFCAP00000000927,RNFT2,445,Ring finger protein, transmembrane 2.
9685.ENSFCAP00000000929,MYO9B,2162,Myosin IXB; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family.
9685.ENSFCAP00000000931,OCEL1,129,Occludin/ELL domain containing 1.
9685.ENSFCAP00000000932,NR2F6,414,Nuclear receptor subfamily 2 group F member 6.
9685.ENSFCAP00000000933,USHBP1,703,USH1 protein network component harmonin binding protein 1.
9685.ENSFCAP00000000936,ANKLE1,588,Ankyrin repeat and LEM domain containing 1.
9685.ENSFCAP00000000937,ABHD8,432,Abhydrolase domain containing 8.
9685.ENSFCAP00000000941,GTPBP3,494,GTP binding protein 3, mitochondrial.
9685.ENSFCAP00000000945,PALMD,551,Palmdelphin.
9685.ENSFCAP00000000949,RANBP3L,491,RAN binding protein 3 like.
9685.ENSFCAP00000000950,MYOM1,1658,Myomesin 1.
9685.ENSFCAP00000000951,NKX2-8,308,NK2 homeobox 8.
9685.ENSFCAP00000000954,SLC25A21,319,Solute carrier family 25 member 21; Belongs to the mitochondrial carrier (TC 2.A.29) family.
9685.ENSFCAP00000000955,PSMC4,418,Proteasome 26S subunit, ATPase 4; Belongs to the AAA ATPase family.
9685.ENSFCAP00000000956,CE2H19orf47,356,Chromosome E2 C19orf47 homolog.
9685.ENSFCAP00000000958,HIPK4,616,Homeodomain interacting protein kinase 4.
9685.ENSFCAP00000000960,SERTAD3,209,SERTA domain containing 3.
9685.ENSFCAP00000000962,SPTBN4,2568,Spectrin beta, non-erythrocytic 4.
9685.ENSFCAP00000000963,FCGR3A,250,CD16.
9685.ENSFCAP00000000965,NAPRT,538,Nicotinate phosphoribosyltransferase; Catalyzes the first step in the biosynthesis of NAD from nicotinic acid, the ATP-dependent synthesis of beta-nicotinate D- ribonucleotide from nicotinate and 5-phospho-D-ribose 1-phosphate. Belongs to the NAPRTase family.
9685.ENSFCAP00000000969,PYCR3,274,Pyrroline-5-carboxylate reductase; Belongs to the pyrroline-5-carboxylate reductase family.
9685.ENSFCAP00000000970,TSTA3,321,Tissue specific transplantation antigen P35B.
9685.ENSFCAP00000000972,SCRIB,1637,Scribble planar cell polarity protein.
9685.ENSFCAP00000000973,PUF60,654,Poly(U) binding splicing factor 60.
9685.ENSFCAP00000000977,ASB17,295,Ankyrin repeat and SOCS box containing 17.
9685.ENSFCAP00000000981,CABLES2,518,Cdk5 and Abl enzyme substrate 2.
9685.ENSFCAP00000000982,RBBP8NL,752,RBBP8 N-terminal like.
9685.ENSFCAP00000000983,GATA5,398,GATA binding protein 5.
9685.ENSFCAP00000000994,TST,559,Sulfurtransferase.
9685.ENSFCAP00000000999,PSORS1C2,136,Psoriasis susceptibility 1 candidate 2.
9685.ENSFCAP00000001002,POU5F1,360,POU domain protein.
9685.ENSFCAP00000001003,CDKL5,978,Cyclin dependent kinase like 5.
9685.ENSFCAP00000001007,SRSF3,170,RRM domain-containing protein.
9685.ENSFCAP00000001023,IRGC,435,Immunity related GTPase cinema.
9685.ENSFCAP00000001025,KCNN4,427,Potassium calcium-activated channel subfamily N member 4.
9685.ENSFCAP00000001026,DNAJB5,466,DnaJ heat shock protein family (Hsp40) member B5.
9685.ENSFCAP00000001028,SETD3,601,Protein-histidine N-methyltransferase.
9685.ENSFCAP00000001032,VCP,761,Valosin containing protein; Belongs to the AAA ATPase family.
9685.ENSFCAP00000001038,PIGO,1189,Phosphatidylinositol glycan anchor biosynthesis class O.
9685.ENSFCAP00000001039,SCARB2,478,Scavenger receptor class B member 2; Belongs to the CD36 family.
9685.ENSFCAP00000001041,FAM214B,577,Family with sequence similarity 214 member B.
9685.ENSFCAP00000001042,MYH9,1981,Myosin heavy chain 9; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family.
9685.ENSFCAP00000001043,TXN2,163,Thioredoxin 2.
9685.ENSFCAP00000001044,CRTAM,400,Cytotoxic and regulatory T cell molecule.
9685.ENSFCAP00000001045,FOXRED2,685,FAD dependent oxidoreductase domain containing 2.
9685.ENSFCAP00000001046,JHY,770,Junctional cadherin complex regulator.
9685.ENSFCAP00000001051,CLMP,373,CXADR like membrane protein.
9685.ENSFCAP00000001059,LOC101080762,331,Ig-like domain-containing protein.
9685.ENSFCAP00000001063,BCL9L,1393,BCL9 like.
9685.ENSFCAP00000001066,RPS25,125,40S ribosomal protein S25; Belongs to the eukaryotic ribosomal protein eS25 family.
9685.ENSFCAP00000001067,TRAPPC4,219,Trafficking protein particle complex subunit; Belongs to the TRAPP small subunits family.
9685.ENSFCAP00000001069,HYOU1,999,Hypoxia up-regulated 1.
9685.ENSFCAP00000001071,RILPL2,212,Rab interacting lysosomal protein like 2.
9685.ENSFCAP00000001072,VPS11,941,Vacuolar protein sorting-associated protein 11 homolog; Plays a role in vesicle-mediated protein trafficking to lysosomal compartments including the endocytic membrane transport and autophagic pathways. Believed to act as a core component of the putative HOPS and CORVET endosomal tethering complexes. Belongs to the VPS11 family.
9685.ENSFCAP00000001073,SNRNP35,246,Small nuclear ribonucleoprotein U11/U12 subunit 35.
9685.ENSFCAP00000001077,DPAGT1,408,Dolichyl-phosphate N-acetylglucosaminephosphotransferase 1.
9685.ENSFCAP00000001078,C2CD2L,707,C2CD2 like.
9685.ENSFCAP00000001079,HINFP,500,Histone H4 transcription factor.
9685.ENSFCAP00000001080,ABCG4,673,ATP binding cassette subfamily G member 4.
9685.ENSFCAP00000001082,PDZD3,505,PDZ domain containing 3.
9685.ENSFCAP00000001083,CCDC153,282,Coiled-coil domain containing 153.
9685.ENSFCAP00000001084,ASTE1,680,Asteroid homolog 1.
9685.ENSFCAP00000001085,NEK11,654,NIMA related kinase 11.
9685.ENSFCAP00000001087,ZGPAT,802,Uncharacterized protein.
9685.ENSFCAP00000001096,SAMD10,293,Sterile alpha motif domain containing 10.
9685.ENSFCAP00000001101,OPRL1,370,Opioid related nociceptin receptor 1; Belongs to the G-protein coupled receptor 1 family.
9685.ENSFCAP00000001105,PCMTD1,357,Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1.
9685.ENSFCAP00000001107,SLC25A24,477,Solute carrier family 25 member 24; Belongs to the mitochondrial carrier (TC 2.A.29) family.
9685.ENSFCAP00000001109,OR10A7,316,Olfactory receptor.
9685.ENSFCAP00000001112,M3VW68_FELCA,82,Uncharacterized protein.
9685.ENSFCAP00000001114,BOD1L1,3033,Biorientation of chromosomes in cell division 1 like 1.
9685.ENSFCAP00000001116,TMOD1,346,Tropomodulin 1.
9685.ENSFCAP00000001118,TSTD2,495,Thiosulfate sulfurtransferase like domain containing 2.
9685.ENSFCAP00000001119,NCBP1,789,Nuclear cap binding protein subunit 1.
9685.ENSFCAP00000001122,LGALSL,392,Galectin.
9685.ENSFCAP00000001126,FSHR,692,Follicle-stimulating hormone receptor; G protein-coupled receptor for follitropin, the follicle- stimulating hormone. Through cAMP production activates the downstream PI3K-AKT and ERK1/ERK2 signaling pathways.
9685.ENSFCAP00000001127,EHMT1,1312,Euchromatic histone lysine methyltransferase 1.
9685.ENSFCAP00000001130,PTBP1,625,Polypyrimidine tract binding protein 1.
9685.ENSFCAP00000001132,M3VW84_FELCA,734,MAGE domain-containing protein.
9685.ENSFCAP00000001141,NODAL,348,Nodal growth differentiation factor.
9685.ENSFCAP00000001143,ADAMTS14,1223,ADAM metallopeptidase with thrombospondin type 1 motif 14.
9685.ENSFCAP00000001144,TBATA,352,Thymus, brain and testes associated.
9685.ENSFCAP00000001145,SGPL1,671,Sphingosine-1-phosphate lyase 1.
9685.ENSFCAP00000001148,PPRC1,1663,PPARG related coactivator 1.
9685.ENSFCAP00000001153,NFKB2,921,Nuclear factor kappa B subunit 2.
9685.ENSFCAP00000001155,FBXL15,378,F-box and leucine rich repeat protein 15.
9685.ENSFCAP00000001156,CUEDC2,287,CUE domain containing 2.
9685.ENSFCAP00000001159,ACTR1A,376,Actin related protein 1A.
9685.ENSFCAP00000001162,ARL3,182,ADP ribosylation factor like GTPase 3; Belongs to the small GTPase superfamily. Arf family.
9685.ENSFCAP00000001165,CYP17A1,508,Steroid 17-alpha-hydroxylase/17,20 lyase; A cytochrome P450 monooxygenase involved in corticoid and androgen biosynthesis. Catalyzes 17-alpha hydroxylation of C21 steroids, which is common for both pathways. A second oxidative step, required only for androgen synthesis, involves an acyl-carbon cleavage. The 17-alpha hydroxy intermediates, as part of adrenal glucocorticoids biosynthesis pathway, are precursors of cortisol. Hydroxylates steroid hormones, pregnenolone and progesterone to form 17-alpha hydroxy metabolites, followed by the cleavage of the C17-C20 bond to form C19 steroids,  [...] 
9685.ENSFCAP00000001167,SH3GL3,347,SH3 domain containing GRB2 like 3, endophilin A3.
9685.ENSFCAP00000001168,ADAMTSL3,1694,ADAMTS like 3.
9685.ENSFCAP00000001170,CCL5,91,C-C motif chemokine 5; Chemoattractant for blood monocytes, memory T-helper cells and eosinophils. Causes the release of histamine from basophils and activates eosinophils. May activate several chemokine receptors including CCR1, CCR3, CCR4 and CCR5. May also be an agonist of the G protein-coupled receptor GPR75. Together with GPR75, may play a role in neuron survival through activation of a downstream signaling pathway involving the PI3, Akt and MAP kinases. By activating GPR75 may also play a role in insulin secretion by islet cells. Belongs to the intercrine beta (chemokine CC) family.
9685.ENSFCAP00000001171,CD37,281,Tetraspanin.
9685.ENSFCAP00000001174,TTC27,842,Tetratricopeptide repeat domain 27.
9685.ENSFCAP00000001175,UGGT1,1556,UDP-glucose glycoprotein glucosyltransferase 1.
9685.ENSFCAP00000001177,CLINT1,584,Clathrin interactor 1.
9685.ENSFCAP00000001181,PFDN1,122,Prefoldin subunit 1.
9685.ENSFCAP00000001182,HBEGF,305,Heparin binding EGF like growth factor.
9685.ENSFCAP00000001186,SLC35A4,324,Solute carrier family 35 member A4.
9685.ENSFCAP00000001187,CD14,375,Monocyte differentiation antigen CD14; Coreceptor for bacterial lipopolysaccharide. In concert with LBP, binds to monomeric lipopolysaccharide and delivers it to the LY96/TLR4 complex, thereby mediating the innate immune response to bacterial lipopolysaccharide (LPS). Acts via MyD88, TIRAP and TRAF6, leading to NF-kappa-B activation, cytokine secretion and the inflammatory response. Acts as a coreceptor for TLR2:TLR6 heterodimer in response to diacylated lipopeptides and for TLR2:TLR1 heterodimer in response to triacylated lipopeptides, these clusters trigger signaling from the cell su [...] 
9685.ENSFCAP00000001188,IK,555,IK cytokine.
9685.ENSFCAP00000001189,TMCO6,499,Transmembrane and coiled-coil domains 6.
9685.ENSFCAP00000001190,NDUFA2,99,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone.
9685.ENSFCAP00000001195,DND1,509,Histidyl-tRNA synthetase.
9685.ENSFCAP00000001197,HARS2,505,Histidyl-tRNA synthetase 2, mitochondrial.
9685.ENSFCAP00000001198,ZMAT2,199,Zinc finger matrin-type 2.
9685.ENSFCAP00000001199,S100A8,124,Protein S100; Belongs to the S-100 family.
9685.ENSFCAP00000001203,DDX58,929,DExD/H-box helicase 58.
9685.ENSFCAP00000001206,NDUFB6,97,NADH:ubiquinone oxidoreductase subunit B6.
9685.ENSFCAP00000001208,PNPO,260,Pyridoxamine 5'-phosphate oxidase.
9685.ENSFCAP00000001218,PLAAT3,162,Phospholipase A and acyltransferase 3.
9685.ENSFCAP00000001220,PSMD5,504,Proteasome 26S subunit, non-ATPase 5.
9685.ENSFCAP00000001222,SELENOM,141,Selenoprotein M.
9685.ENSFCAP00000001223,INPP5J,1003,Inositol polyphosphate-5-phosphatase J.
9685.ENSFCAP00000001227,PIK3IP1,311,Phosphoinositide-3-kinase interacting protein 1.
9685.ENSFCAP00000001229,DRG1,367,Developmentally regulated GTP binding protein 1.
9685.ENSFCAP00000001231,SFI1,1246,SFI1 centrin binding protein.
9685.ENSFCAP00000001232,PISD,416,Phosphatidylserine decarboxylase proenzyme, mitochondrial; Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer). Plays a central role in phospholipid metabolism and in the interorganelle trafficking of phosphatidylserine.
